AnnoA;GruppoNOME;SESSO;Imm;note
2011/2012;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;3545;
2011/2012;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;1682;
2010/2011;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1142;
2010/2011;Educazione e Formazione                                                                                                                                                                                                                                   ;F;11587;
2010/2011;Arte e Design                                                                                                                                                                                                                                             ;M;2663;
2010/2011;Arte e Design                                                                                                                                                                                                                                             ;F;6380;
2010/2011;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;3724;
2010/2011;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;6840;
2010/2011;Linguistico                                                                                                                                                                                                                                               ;M;3197;
2010/2011;Linguistico                                                                                                                                                                                                                                               ;F;14217;
2010/2011;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;9805;
2010/2011;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;12704;
2010/2011;Psicologico                                                                                                                                                                                                                                               ;M;2103;
2010/2011;Psicologico                                                                                                                                                                                                                                               ;F;6897;
2010/2011;Economico                                                                                                                                                                                                                                                 ;M;22472;
2010/2011;Economico                                                                                                                                                                                                                                                 ;F;21643;
2010/2011;Giuridico                                                                                                                                                                                                                                                 ;M;12361;
2010/2011;Giuridico                                                                                                                                                                                                                                                 ;F;19508;
2010/2011;Scientifico                                                                                                                                                                                                                                               ;M;12632;
2010/2011;Scientifico                                                                                                                                                                                                                                               ;F;18730;
2010/2011;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;3587;
2010/2011;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;526;
2010/2011;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;11267;
2010/2011;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;7882;
2010/2011;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;22961;
2010/2011;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;5560;
