AnnoA;AteneoNOME;AteneoCOD;SESSO;Isc
2017/2018;Catanzaro;7901;M;4151
2017/2018;Chieti e Pescara;6901;F;15402
2017/2018;Chieti e Pescara;6901;M;8799
2017/2018;Enna KORE;8601;F;3327
2017/2018;Enna KORE;8601;M;1855
2017/2018;Ferrara;3801;F;10553
2017/2018;Ferrara;3801;M;7849
2017/2018;Firenze;4801;F;30315
2017/2018;Firenze;4801;M;21395
2017/2018;Firenze IUL - telematica;4804;F;160
2017/2018;Firenze IUL - telematica;4804;M;65
2017/2018;Foggia;7101;F;6333
2017/2018;Foggia;7101;M;3859
2017/2018;Genova;1001;F;17469
2017/2018;Genova;1001;M;14501
2017/2018;Insubria;1202;F;5398
2017/2018;Insubria;1202;M;4645
2017/2018;L'Aquila;6601;F;9126
2017/2018;L'Aquila;6601;M;7095
2017/2018;Macerata;4301;F;7277
2017/2018;Macerata;4301;M;2766
2017/2018;Marche;4201;F;6856
2017/2018;Marche;4201;M;8345
2017/2018;Messina;8301;F;14319
2017/2018;Messina;8301;M;8598
2017/2018;Milano;1501;F;35244
2017/2018;Milano;1501;M;25367
2017/2018;Milano Bicocca;1509;F;20230
2017/2018;Milano Bicocca;1509;M;12948
2017/2018;Milano Bocconi;1503;F;5908
2017/2018;Milano Bocconi;1503;M;7521
2017/2018;Milano Cattolica;1504;F;25041
2017/2018;Milano Cattolica;1504;M;13454
2017/2018;Milano IULM;1505;F;4062
2017/2018;Milano IULM;1505;M;1670
2017/2018;Milano Politecnico;1502;F;14511
2017/2018;Milano Politecnico;1502;M;29162
2017/2018;Milano San Raffaele;1508;F;1579
2017/2018;Milano San Raffaele;1508;M;1022
2017/2018;Modena e Reggio Emilia;3601;F;12528
2017/2018;Modena e Reggio Emilia;3601;M;11232
2017/2018;Molise;7001;F;4096
2017/2018;Molise;7001;M;2797
2017/2018;Napoli Benincasa;6304;F;7047
2017/2018;Napoli Benincasa;6304;M;1218
2017/2018;Napoli Federico II;6301;F;41463
2017/2018;Napoli Federico II;6301;M;33777
2017/2018;Napoli L'Orientale;6303;F;8845
2017/2018;Napoli L'Orientale;6303;M;2377
2017/2018;Napoli Parthenope;6302;F;5227
2017/2018;Napoli Parthenope;6302;M;6870
2017/2018;Napoli Pegaso - telematica;6307;F;11716
2017/2018;Napoli Pegaso - telematica;6307;M;18116
2017/2018;Napoli Vanvitelli;6306;F;14343
2017/2018;Napoli Vanvitelli;6306;M;10405
2017/2018;Novedrate e-Campus - telematica;1301;F;5702
2017/2018;Novedrate e-Campus - telematica;1301;M;5679
2017/2018;Padova;2801;F;30764
2017/2018;Padova;2801;M;27295
2017/2018;Palermo;8201;F;22800
2017/2018;Palermo;8201;M;16511
2017/2018;Parma;3401;F;13991
2017/2018;Parma;3401;M;10803
2017/2018;Pavia;1801;F;12175
2017/2018;Pavia;1801;M;9830
2017/2018;Perugia;5401;F;13101
2017/2018;Perugia;5401;M;9878
2017/2018;Perugia Stranieri;5403;F;614
2017/2018;Perugia Stranieri;5403;M;321
2017/2018;Piemonte Orientale;201;F;7386
2017/2018;Piemonte Orientale;201;M;4746
2017/2018;Pisa;5001;F;22665
2017/2018;Pisa;5001;M;21644
2017/2018;Reggio Calabria;8001;F;2627
2017/2018;Reggio Calabria;8001;M;2641
2017/2018;Reggio Calabria - Dante Alighieri;8003;F;710
2017/2018;Reggio Calabria - Dante Alighieri;8003;M;151
2017/2018;Roma  Mercatorum - telematica;5814;F;394
2017/2018;Roma  Mercatorum - telematica;5814;M;1543
2017/2018;Roma Biomedico;5808;F;1088
2017/2018;Roma Biomedico;5808;M;693
2017/2018;Roma Europea;5812;F;667
2017/2018;Roma Europea;5812;M;337
2017/2018;Roma Foro Italico;5806;F;572
2017/2018;Roma Foro Italico;5806;M;1602
2017/2018;Roma La Sapienza;5801;F;57310
2017/2018;Roma La Sapienza;5801;M;43020
2017/2018;Roma Link Campus;5817;F;524
2017/2018;Roma Link Campus;5817;M;1352
2017/2018;Roma LUISS;5805;F;4144
2017/2018;Roma LUISS;5805;M;4901
2017/2018;Roma LUMSA;5803;F;3895
2017/2018;Roma LUMSA;5803;M;1746
2017/2018;Roma Marconi - telematica;5810;F;4403
2017/2018;Roma Marconi - telematica;5810;M;4757
2017/2018;Roma San Raffaele - telematica;5816;F;1838
2017/2018;Roma San Raffaele - telematica;5816;M;2399
2017/2018;Roma Tor Vergata;5802;F;14783
2017/2018;Roma Tor Vergata;5802;M;13834
2017/2018;Roma Tre;5807;F;18866
2017/2018;Roma Tre;5807;M;13085
2017/2018;Roma UNICUSANO - telematica;5815;F;9408
2017/2018;Roma UNICUSANO - telematica;5815;M;14185
2017/2018;Roma UNINETTUNO - telematica;5813;F;4534
2017/2018;Roma UNINETTUNO - telematica;5813;M;6984
2017/2018;Roma UNINT;5809;F;1004
2017/2018;Roma UNINT;5809;M;298
2017/2018;Roma UNITELMA - telematica;5811;F;785
2017/2018;Roma UNITELMA - telematica;5811;M;852
2017/2018;Rozzano (MI) Humanitas University;1510;F;439
2017/2018;Rozzano (MI) Humanitas University;1510;M;288
2017/2018;Salento;7501;F;10407
2017/2018;Salento;7501;M;6210
2017/2018;Salerno;6501;F;20214
2017/2018;Salerno;6501;M;15358
2017/2018;Sannio;6201;F;2489
2017/2018;Sannio;6201;M;2349
2017/2018;Sassari;9001;F;8331
2017/2018;Sassari;9001;M;4790
2017/2018;Siena;5201;F;9148
2017/2018;Siena;5201;M;6591
2017/2018;Siena Stranieri;5202;F;1670
2017/2018;Siena Stranieri;5202;M;401
2017/2018;Teramo;6701;F;3350
2017/2018;Teramo;6701;M;2505
2017/2018;Torino;101;F;43529
2017/2018;Torino;101;M;28060
2017/2018;Torino Politecnico;102;F;8998
2017/2018;Torino Politecnico;102;M;22904
2017/2018;Torrevecchia Teatina Leonardo da Vinci - telematica;6902;F;54
2017/2018;Torrevecchia Teatina Leonardo da Vinci - telematica;6902;M;45
2017/2018;Trento;2201;F;8190
2017/2018;Trento;2201;M;8063
2017/2018;Trieste;3201;F;8441
2017/2018;Trieste;3201;M;6702
2017/2018;Tuscia;5601;F;3957
2017/2018;Tuscia;5601;M;4150
2017/2018;Udine;3001;F;7716
2017/2018;Udine;3001;M;7187
2017/2018;Urbino;4101;F;8719
2017/2018;Urbino;4101;M;5421
2017/2018;Venezia Cà Foscari;2701;F;13104
2017/2018;Venezia Cà Foscari;2701;M;7224
2017/2018;Venezia Iuav;2702;F;2109
2017/2018;Venezia Iuav;2702;M;1890
2017/2018;Verona;2301;F;15120
2017/2018;Verona;2301;M;8348
2016/2017;Aosta;701;F;770
2016/2017;Aosta;701;M;289
2016/2017;Bari;7201;F;27662
2016/2017;Bari;7201;M;16685
2016/2017;Bari Politecnico;7202;F;3004
2016/2017;Bari Politecnico;7202;M;6644
2016/2017;Basilicata;7601;F;3835
2016/2017;Basilicata;7601;M;2875
2016/2017;Benevento Giustino Fortunato - telematica;6202;F;284
2016/2017;Benevento Giustino Fortunato - telematica;6202;M;497
2016/2017;Bergamo;1601;F;10425
2016/2017;Bergamo;1601;M;6374
2016/2017;Bologna;3701;F;43531
2016/2017;Bologna;3701;M;34991
2016/2017;Bolzano;2101;F;2246
2016/2017;Bolzano;2101;M;1047
2016/2017;Bra Scienze Gastronomiche;401;F;153
2016/2017;Bra Scienze Gastronomiche;401;M;166
2016/2017;Brescia;1701;F;6381
2016/2017;Brescia;1701;M;7515
2016/2017;Cagliari;9201;F;15376
2016/2017;Cagliari;9201;M;10606
2016/2017;Calabria;7801;F;15597
2016/2017;Calabria;7801;M;11056
2016/2017;Camerino;4302;F;3467
2016/2017;Camerino;4302;M;3474
2016/2017;Casamassima - G.Degennaro;7203;F;519
2016/2017;Casamassima - G.Degennaro;7203;M;848
2016/2017;Cassino;6001;F;4101
2016/2017;Cassino;6001;M;3495
2016/2017;Castellanza LIUC;1201;F;729
2016/2017;Castellanza LIUC;1201;M;1311
2016/2017;Catania;8701;F;24780
2016/2017;Catania;8701;M;17429
2016/2017;Catanzaro;7901;F;6253
2016/2017;Catanzaro;7901;M;4102
2016/2017;Chieti e Pescara;6901;F;15876
2016/2017;Chieti e Pescara;6901;M;9069
2016/2017;Enna KORE;8601;F;3498
2016/2017;Enna KORE;8601;M;2016
2016/2017;Ferrara;3801;F;8599
2016/2017;Ferrara;3801;M;6959
2016/2017;Firenze;4801;F;30027
2016/2017;Firenze;4801;M;21005
2016/2017;Firenze IUL - telematica;4804;F;149
2016/2017;Firenze IUL - telematica;4804;M;47
2016/2017;Foggia;7101;F;6014
2016/2017;Foggia;7101;M;3761
2016/2017;Genova;1001;F;17221
2016/2017;Genova;1001;M;14252
2016/2017;Insubria;1202;F;5059
2016/2017;Insubria;1202;M;4273
2016/2017;L'Aquila;6601;F;9616
2016/2017;L'Aquila;6601;M;7435
2016/2017;Macerata;4301;F;7295
2016/2017;Macerata;4301;M;2892
2016/2017;Marche;4201;F;6986
2016/2017;Marche;4201;M;8329
2016/2017;Messina;8301;F;14346
2016/2017;Messina;8301;M;8510
2016/2017;Milano;1501;F;34925
2016/2017;Milano;1501;M;24811
2016/2017;Milano Bicocca;1509;F;20024
2016/2017;Milano Bicocca;1509;M;12706
2016/2017;Milano Bocconi;1503;F;6121
2016/2017;Milano Bocconi;1503;M;7148
2016/2017;Milano Cattolica;1504;F;23909
2016/2017;Milano Cattolica;1504;M;13248
2016/2017;Milano IULM;1505;F;3714
2016/2017;Milano IULM;1505;M;1502
2016/2017;Milano Politecnico;1502;F;14037
2016/2017;Milano Politecnico;1502;M;28401
2016/2017;Milano San Raffaele;1508;F;1465
2016/2017;Milano San Raffaele;1508;M;993
2016/2017;Modena e Reggio Emilia;3601;F;11732
2016/2017;Modena e Reggio Emilia;3601;M;10427
2016/2017;Molise;7001;F;4085
2016/2017;Molise;7001;M;2851
2016/2017;Napoli Benincasa;6304;F;7001
2016/2017;Napoli Benincasa;6304;M;1186
2016/2017;Napoli Federico II;6301;F;42446
2016/2017;Napoli Federico II;6301;M;34349
2016/2017;Napoli L'Orientale;6303;F;8576
2016/2017;Napoli L'Orientale;6303;M;2376
2016/2017;Napoli Parthenope;6302;F;5632
2016/2017;Napoli Parthenope;6302;M;7362
2016/2017;Napoli Pegaso - telematica;6307;F;7354
2016/2017;Napoli Pegaso - telematica;6307;M;12879
2016/2017;Napoli Vanvitelli;6306;F;14797
2016/2017;Napoli Vanvitelli;6306;M;10606
2016/2017;Novedrate e-Campus - telematica;1301;F;4512
2016/2017;Novedrate e-Campus - telematica;1301;M;4578
2016/2017;Padova;2801;F;30950
2016/2017;Padova;2801;M;27062
2016/2017;Palermo;8201;F;23210
2016/2017;Palermo;8201;M;16618
2016/2017;Parma;3401;F;13394
2016/2017;Parma;3401;M;10492
2016/2017;Pavia;1801;F;11831
2016/2017;Pavia;1801;M;9539
2016/2017;Perugia;5401;F;13028
2016/2017;Perugia;5401;M;9919
2016/2017;Perugia Stranieri;5403;F;551
2016/2017;Perugia Stranieri;5403;M;330
2016/2017;Piemonte Orientale;201;F;7153
2016/2017;Piemonte Orientale;201;M;4591
2016/2017;Pisa;5001;F;23238
2016/2017;Pisa;5001;M;21980
2016/2017;Reggio Calabria;8001;F;2943
2016/2017;Reggio Calabria;8001;M;2904
